           run        subrun           EXT         Gate2        E1DCNT        tor860        tor875   E1DCNT_wcut   tor860_wcut   tor875_wcut
          4112             0           0.0          42.0          42.0     1.726e+14     1.723e+14          42.0     1.726e+14     1.723e+14
          4288             0           1.0          41.0          41.0      1.81e+14     1.807e+14          41.0      1.81e+14     1.807e+14
          8406            30         540.0         411.0         411.0     1.811e+15     1.809e+15         410.0     1.807e+15     1.805e+15
          8406            31         402.0         323.0         323.0     1.422e+15     1.421e+15         322.0     1.418e+15     1.417e+15
          8406            32         443.0         341.0         341.0      1.09e+15     1.089e+15         248.0      1.09e+15     1.089e+15
          8537           199         648.0         104.0         104.0             0             0           0.0             0             0
          8537           200         610.0         106.0         106.0             0             0           0.0             0             0
          8547           290         500.0         382.0         383.0     1.652e+15     1.649e+15         381.0     1.648e+15     1.645e+15
          8547           291         515.0         384.0         385.0     1.666e+15     1.664e+15         385.0     1.666e+15     1.664e+15
          8547           292         398.0         303.0         303.0      1.31e+15     1.308e+15         302.0     1.306e+15     1.304e+15
          8701            88         500.0         376.0         377.0     1.614e+15     1.612e+15         373.0     1.597e+15     1.594e+15
          8701            89         445.0         327.0         327.0       1.4e+15     1.398e+15         325.0     1.392e+15      1.39e+15
          8701           115         479.0         366.0         366.0     1.572e+15      1.57e+15         364.0     1.564e+15     1.561e+15
          8759           161         357.0         284.0         284.0     1.318e+15     1.316e+15         284.0     1.318e+15     1.316e+15
          8759           162         543.0         447.0         448.0     2.076e+15     2.073e+15         448.0     2.076e+15     2.073e+15
          8877            16         427.0         350.0         350.0     1.665e+15     1.663e+15         350.0     1.665e+15     1.663e+15
          8877            17         389.0         321.0         321.0      1.53e+15     1.528e+15         321.0      1.53e+15     1.528e+15
          8877            18         434.0         358.0         358.0     1.708e+15     1.706e+15         358.0     1.708e+15     1.706e+15
          8886           212         359.0         296.0         296.0     1.408e+15     1.407e+15         296.0     1.408e+15     1.407e+15
          8886           213         334.0         267.0         267.0     1.271e+15     1.269e+15         266.0     1.266e+15     1.265e+15
          8886           214         435.0         363.0         363.0     1.731e+15     1.729e+15         342.0     1.631e+15     1.629e+15
          9210           221         365.0         300.0         300.0     1.383e+15     1.381e+15         299.0     1.383e+15     1.381e+15
          9210           222         315.0         258.0         258.0     1.194e+15     1.192e+15         258.0     1.194e+15     1.192e+15
          9210           226         414.0         348.0         348.0     1.596e+15     1.601e+15         346.0     1.596e+15     1.601e+15
          9242            75         420.0         250.0         250.0     1.186e+15     1.185e+15         200.0     9.487e+14     9.477e+14
          9242            76         447.0         268.0         268.0     1.271e+15     1.269e+15         268.0     1.271e+15     1.269e+15
          9242            77         302.0         177.0         177.0     8.389e+14     8.379e+14         177.0     8.389e+14     8.379e+14
          9242            84         391.0         231.0         231.0     1.093e+15     1.092e+15         231.0     1.093e+15     1.092e+15
          9269            41         461.0         273.0         273.0     1.251e+15      1.25e+15         273.0     1.251e+15      1.25e+15
          9269            42         484.0         280.0         280.0     1.284e+15     1.283e+15         280.0     1.284e+15     1.283e+15
          9269            43         488.0         290.0         290.0     1.331e+15      1.33e+15         290.0     1.331e+15      1.33e+15
          9273            66         368.0         223.0         223.0     1.024e+15     1.023e+15         223.0     1.024e+15     1.023e+15
          9273            67         437.0         257.0         257.0     1.178e+15     1.177e+15         257.0     1.178e+15     1.177e+15
          9301            16         480.0         280.0         280.0      1.36e+15     1.358e+15         280.0      1.36e+15     1.358e+15
          9301            17         421.0         256.0         256.0     1.243e+15     1.241e+15         256.0     1.243e+15     1.241e+15
          9301            65         409.0         243.0         243.0      1.17e+15     1.169e+15         241.0      1.17e+15     1.168e+15
          9394            49         436.0         253.0         254.0     1.208e+15     1.206e+15         254.0     1.208e+15     1.206e+15
          9394            50         589.0         344.0         345.0     1.639e+15     1.637e+15         345.0     1.639e+15     1.637e+15
          9394            54         557.0         319.0         319.0     1.517e+15     1.515e+15         313.0     1.488e+15     1.486e+15
          9410            74         409.0         206.0         206.0             0             0           0.0             0             0
          9410            75         371.0         190.0         190.0             0             0           0.0             0             0
          9410            76         460.0         235.0         235.0             0             0           0.0             0             0
          9412           180         648.0         333.0         333.0      1.65e+15     1.648e+15         332.0     1.645e+15     1.643e+15
          9412           181         438.0         219.0         219.0     1.086e+15     1.084e+15         219.0     1.086e+15     1.084e+15
          9467            35         523.0         206.0         206.0     9.944e+14     9.932e+14         206.0     9.944e+14     9.932e+14
          9467            36         444.0         174.0         174.0     8.386e+14     8.376e+14         174.0     8.386e+14     8.376e+14
          9467            37         583.0         226.0         226.0     1.092e+15     1.091e+15         226.0     1.092e+15     1.091e+15
          9498            52         284.0         115.0         115.0     5.879e+14     5.875e+14         115.0     5.879e+14     5.875e+14
          9498            53         308.0         118.0         118.0     4.552e+14     4.548e+14          89.0     4.552e+14     4.548e+14
          9498           208         247.0          96.0          96.0     4.916e+14      4.91e+14          96.0     4.916e+14      4.91e+14
          9498           258         269.0         103.0         103.0     5.269e+14     5.263e+14         103.0     5.269e+14     5.263e+14
          9501            66         345.0          99.0          99.0     5.058e+14     5.052e+14          99.0     5.058e+14     5.052e+14
          9501            67         259.0          84.0          84.0     4.289e+14     4.283e+14          84.0     4.289e+14     4.283e+14
          9501            68         252.0          75.0          75.0     3.832e+14     3.828e+14          75.0     3.832e+14     3.828e+14
          9501            69         316.0          99.0          99.0     5.054e+14     5.048e+14          99.0     5.054e+14     5.048e+14
          9501            70         309.0          99.0          99.0     5.052e+14     5.046e+14          98.0     5.001e+14     4.995e+14
          9532            49         328.0          90.0          90.0     4.477e+14     4.472e+14          90.0     4.477e+14     4.472e+14
          9532            67         251.0          72.0          72.0             0             0           0.0             0             0
          9532            77         303.0          84.0          84.0     1.018e+14     1.017e+14           2.0     9.744e+12     9.728e+12
          9532            91         232.0          60.0          60.0             0             0           0.0             0             0
          9536            15         238.0         203.0         203.0      9.85e+14     9.836e+14         203.0      9.85e+14     9.836e+14
          9536            16         280.0         226.0         226.0     1.097e+15     1.096e+15         226.0     1.097e+15     1.096e+15
          9536            17         241.0         187.0         187.0     9.068e+14     9.056e+14         187.0     9.068e+14     9.056e+14
          9536            18         228.0         195.0         195.0     9.465e+14     9.451e+14         195.0     9.465e+14     9.451e+14
          9560           240         441.0         334.0         334.0     1.611e+15      1.61e+15         334.0     1.611e+15      1.61e+15
          9560           252         473.0         366.0         366.0     1.763e+15     1.761e+15         366.0     1.763e+15     1.761e+15
          9560           253         470.0         372.0         372.0     1.793e+15     1.791e+15         372.0     1.793e+15     1.791e+15
          9658           111         488.0         157.0         157.0     7.215e+14     7.205e+14         157.0     7.215e+14     7.205e+14
          9658           112         435.0         137.0         137.0     6.298e+14     6.288e+14         137.0     6.298e+14     6.288e+14
          9658           113         560.0         170.0         170.0     7.813e+14     7.803e+14         170.0     7.813e+14     7.803e+14
          9668           117         411.0         134.0         134.0      6.24e+14     6.231e+14         134.0      6.24e+14     6.231e+14
          9668           154         485.0         158.0         158.0     7.368e+14     7.359e+14         148.0     6.902e+14     6.894e+14
          9668           171         639.0         210.0         210.0      9.79e+14      9.78e+14         210.0      9.79e+14      9.78e+14
          9689            63         600.0         199.0         199.0     9.264e+14      9.25e+14         199.0     9.264e+14      9.25e+14
          9690            69         550.0         174.0         174.0     6.393e+14     6.383e+14           0.0             0             0
          9690            70         446.0         147.0         147.0     6.919e+14     6.909e+14         117.0     5.508e+14     5.499e+14
          9690            71         450.0         146.0         146.0      5.42e+14     5.412e+14          86.0     4.053e+14     4.047e+14
          9710           202         497.0         144.0         144.0     6.941e+14     6.933e+14         144.0     6.941e+14     6.933e+14
          9710           203         521.0         156.0         156.0      7.45e+14     7.438e+14         154.0     7.402e+14      7.39e+14
          9718             0         569.0         166.0         166.0     8.059e+14     8.047e+14         166.0     8.059e+14     8.047e+14
          9718             1         546.0         164.0         164.0      7.96e+14     7.948e+14         164.0      7.96e+14     7.948e+14
          9718             2         624.0         166.0         166.0      8.05e+14     8.038e+14         166.0      8.05e+14     8.038e+14
          9780            22         429.0         152.0         152.0     7.401e+14      7.39e+14         152.0     7.401e+14      7.39e+14
          9781            15         389.0         134.0         134.0      6.51e+14     6.502e+14         134.0      6.51e+14     6.502e+14
          9781            16         383.0         130.0         130.0     6.313e+14     6.305e+14         130.0     6.313e+14     6.305e+14
          9781            45         536.0         198.0         198.0     9.669e+14     9.656e+14         198.0     9.669e+14     9.656e+14
          9781            46         379.0         126.0         126.0     6.154e+14     6.145e+14         126.0     6.154e+14     6.145e+14
          9781            47         506.0         181.0         182.0     8.899e+14     8.887e+14         182.0     8.899e+14     8.887e+14
          9781            48         498.0         178.0         178.0     8.704e+14     8.693e+14         178.0     8.704e+14     8.693e+14
          9781            78         535.0         188.0         188.0     9.184e+14     9.172e+14         188.0     9.184e+14     9.172e+14
          9781            79         460.0         162.0         162.0     7.924e+14     7.913e+14         162.0     7.924e+14     7.913e+14
          9781            80         478.0         170.0         170.0     8.312e+14       8.3e+14         170.0     8.312e+14       8.3e+14
          9783            16         508.0         180.0         180.0     8.799e+14     8.789e+14         180.0     8.799e+14     8.789e+14
          9783            17         450.0         158.0         158.0     7.718e+14     7.709e+14         158.0     7.718e+14     7.709e+14
          9783            18         427.0         150.0         150.0     7.327e+14     7.317e+14         150.0     7.327e+14     7.317e+14
          9783            41         485.0         170.0         170.0     8.309e+14       8.3e+14         170.0     8.309e+14       8.3e+14
          9783            42         446.0         157.0         159.0     7.771e+14     7.762e+14         159.0     7.771e+14     7.762e+14
          9783            43         447.0         156.0         156.0     7.625e+14     7.615e+14         156.0     7.625e+14     7.615e+14
          9783            46         408.0         145.0         145.0     7.078e+14      7.07e+14         145.0     7.078e+14      7.07e+14
          9783            67         508.0         180.0         180.0     8.793e+14     8.783e+14         145.0     7.083e+14     7.075e+14
          9783            68         439.0         154.0         154.0     7.526e+14     7.515e+14         154.0     7.526e+14     7.515e+14
          9783           102         385.0         135.0         135.0     6.593e+14     6.586e+14         135.0     6.593e+14     6.586e+14
          9783           103         495.0         178.0         178.0     8.693e+14     8.682e+14         178.0     8.693e+14     8.682e+14
          9783           109         483.0         173.0         173.0     8.447e+14     8.437e+14         173.0     8.447e+14     8.437e+14
          9783           110         452.0         158.0         159.0     7.761e+14     7.751e+14         158.0     7.712e+14     7.702e+14
          9783           137         406.0         150.0         150.0     7.317e+14     7.308e+14         150.0     7.317e+14     7.308e+14
          9783           150         422.0         146.0         146.0      7.12e+14     7.113e+14         146.0      7.12e+14     7.113e+14
          9783           156         414.0         146.0         146.0     7.125e+14     7.116e+14         146.0     7.125e+14     7.116e+14
          9783           158         388.0         132.0         132.0     6.446e+14     6.439e+14         132.0     6.446e+14     6.439e+14
          9783           159         320.0         112.0         112.0     5.471e+14     5.464e+14         112.0     5.471e+14     5.464e+14
          9783           175         411.0         140.0         140.0     6.835e+14     6.828e+14         140.0     6.835e+14     6.828e+14
          9783           176         428.0         148.0         148.0     7.226e+14     7.217e+14         148.0     7.226e+14     7.217e+14
          9783           224         438.0         154.0         154.0     7.514e+14     7.507e+14         154.0     7.514e+14     7.507e+14
          9783           225         478.0         170.0         170.0     8.296e+14     8.287e+14         170.0     8.296e+14     8.287e+14
          9783           273         581.0         196.0         196.0     9.569e+14     9.558e+14         196.0     9.569e+14     9.558e+14
          9783           333         365.0         142.0         142.0     6.944e+14     6.936e+14         142.0     6.944e+14     6.936e+14
          9783           335         556.0         200.0         200.0      9.79e+14     9.779e+14         200.0      9.79e+14     9.779e+14
          9783           336         476.0         165.0         166.0     8.117e+14     8.107e+14         166.0     8.117e+14     8.107e+14
          9783           337         427.0         150.0         150.0     7.331e+14     7.321e+14         150.0     7.331e+14     7.321e+14
          9783           346         426.0         150.0         150.0     7.336e+14     7.328e+14         150.0     7.336e+14     7.328e+14
          9783           347         400.0         138.0         138.0     6.749e+14     6.741e+14         138.0     6.749e+14     6.741e+14
          9783           348         394.0         139.0         139.0     6.798e+14     6.789e+14         139.0     6.798e+14     6.789e+14
          9783           359         468.0         162.0         162.0     7.914e+14     7.905e+14         162.0     7.914e+14     7.905e+14
          9783           360         483.0         174.0         174.0     8.513e+14     8.503e+14         174.0     8.513e+14     8.503e+14
          9783           361         360.0         124.0         124.0      6.07e+14     6.065e+14         124.0      6.07e+14     6.065e+14
          9783           362         374.0         130.0         130.0     6.362e+14     6.355e+14         129.0     6.313e+14     6.306e+14
          9783           363         471.0         166.0         166.0     8.118e+14     8.108e+14         166.0     8.118e+14     8.108e+14
          9783           364         429.0         150.0         150.0     7.342e+14     7.334e+14         150.0     7.342e+14     7.334e+14
          9783           423         510.0         178.0         178.0     8.109e+14       8.1e+14         166.0     8.109e+14       8.1e+14
          9783           424         455.0         162.0         162.0             0             0           0.0             0             0
          9783           425         479.0         170.0         170.0     4.694e+14     4.688e+14          39.0     1.888e+14     1.886e+14
          9784             0         448.0         154.0         154.0     7.508e+14     7.499e+14         154.0     7.508e+14     7.499e+14
          9784             1         405.0         142.0         142.0     6.929e+14     6.921e+14         134.0     6.538e+14     6.531e+14
          9784             2         478.0         170.0         170.0      6.49e+14     6.483e+14          84.0     4.097e+14     4.092e+14
          9784             3         452.0         158.0         158.0     7.714e+14     7.703e+14         158.0     7.714e+14     7.703e+14
          9784            10         565.0         206.0         206.0     1.007e+15     1.006e+15         206.0     1.007e+15     1.006e+15
          9784            11         489.0         174.0         174.0     8.513e+14     8.503e+14         174.0     8.513e+14     8.503e+14
          9784           115         458.0         162.0         162.0     7.904e+14     7.896e+14         162.0     7.904e+14     7.896e+14
          9784           116         387.0         142.0         142.0     6.868e+14      6.86e+14         141.0     6.868e+14      6.86e+14
          9784           117         415.0         152.0         152.0     7.397e+14     7.389e+14         152.0     7.397e+14     7.389e+14
          9784           118         441.0         154.0         154.0     7.505e+14     7.497e+14         154.0     7.505e+14     7.497e+14
          9784           119         480.0         172.0         172.0     5.258e+14     5.252e+14         108.0     5.258e+14     5.252e+14
          9784           120         495.0         170.0         170.0     7.833e+14     7.825e+14         161.0     7.833e+14     7.825e+14
          9784           121         411.0         146.0         146.0     7.109e+14     7.103e+14         146.0     7.109e+14     7.103e+14
          9784           122         480.0         170.0         170.0     8.272e+14     8.262e+14         170.0     8.272e+14     8.262e+14
          9784           123         429.0         150.0         150.0     7.301e+14     7.292e+14         150.0     7.301e+14     7.292e+14
          9784           124         389.0         135.0         135.0     6.572e+14     6.565e+14         135.0     6.572e+14     6.565e+14
          9784           248         495.0         169.0         169.0     6.456e+14      6.45e+14         169.0     6.456e+14      6.45e+14
          9786            44         410.0         139.0         139.0       6.1e+14     6.092e+14         124.0       6.1e+14     6.092e+14
          9786            45         431.0         150.0         150.0     7.432e+14     7.424e+14         150.0     7.432e+14     7.424e+14
          9786            46         446.0         158.0         158.0     7.858e+14     7.848e+14         158.0     7.858e+14     7.848e+14
          9786            47         381.0         130.0         130.0     6.483e+14     6.475e+14         130.0     6.483e+14     6.475e+14
          9786            48         450.0         158.0         158.0     6.717e+14     6.707e+14         137.0     6.717e+14     6.707e+14
          9786            49         440.0         157.0         157.0     7.585e+14     7.574e+14         157.0     7.585e+14     7.574e+14
          9786            50         474.0         167.0         167.0     8.087e+14     8.076e+14         167.0     8.087e+14     8.076e+14
          9786            51         509.0         182.0         182.0     8.838e+14     8.826e+14         182.0     8.838e+14     8.826e+14
          9786            52         330.0         114.0         114.0     5.501e+14     5.494e+14         111.0     5.403e+14     5.397e+14
          9786            53         513.0         181.0         181.0     4.893e+14     4.888e+14          99.0     4.845e+14     4.839e+14
          9786           113         349.0         136.0         136.0     6.691e+14     6.683e+14         136.0     6.691e+14     6.683e+14
          9786           114         484.0         170.0         170.0     8.346e+14     8.335e+14         170.0     8.346e+14     8.335e+14
          9786           115         527.0         174.0         174.0     8.548e+14     8.536e+14         174.0     8.548e+14     8.536e+14
          9786           116         421.0         154.0         154.0     7.572e+14     7.561e+14         154.0     7.572e+14     7.561e+14
