           run        subrun           EXT         Gate2        E1DCNT        tor860        tor875   E1DCNT_wcut   tor860_wcut   tor875_wcut
         14218            87         580.0         371.0         383.0     1.331e+15     1.333e+15         373.0     1.331e+15     1.333e+15
         14218           141         464.0         299.0         304.0     1.077e+15     1.079e+15         304.0     1.077e+15     1.079e+15
         14218           196         559.0         356.0         359.0     1.268e+15      1.27e+15         359.0     1.268e+15      1.27e+15
         15250             3         437.0         213.0         213.0     8.841e+14     8.862e+14         213.0     8.841e+14     8.862e+14
         15250            53         402.0         196.0         196.0     8.029e+14     8.048e+14         195.0     8.029e+14     8.048e+14
         15250            85         497.0         245.0         245.0     1.005e+15     1.008e+15           2.0     8.092e+12     8.115e+12
         15840             2         724.0           0.0           0.0             0             0           0.0             0             0
         15840            39         605.0           0.0           0.0             0             0           0.0             0             0
         15933            36         517.0         200.0         200.0     7.654e+14     7.673e+14         200.0     7.654e+14     7.673e+14
         15933           219         461.0         180.0         180.0     6.902e+14     6.921e+14         180.0     6.902e+14     6.921e+14
         15946           222         525.0         204.0         204.0      8.34e+14     8.361e+14          19.0      7.72e+13      7.74e+13
         15946           243         446.0         180.0         180.0     7.324e+14     7.344e+14         180.0     7.324e+14     7.344e+14
         15946           329         406.0         169.0         169.0     6.972e+14     6.992e+14         169.0     6.972e+14     6.992e+14
         15954           277         470.0         183.0         183.0     7.545e+14      7.56e+14         183.0     7.545e+14      7.56e+14
         15954           316         430.0         139.0         139.0     5.704e+14     5.715e+14          73.0      2.99e+14     2.996e+14
         15987           166         514.0         255.0         256.0      1.09e+15     1.092e+15         255.0     1.086e+15     1.088e+15
         16011            77         403.0         228.0         228.0     1.019e+15     1.021e+15         228.0     1.019e+15     1.021e+15
         16011           103         419.0         238.0         238.0     1.056e+15     1.059e+15         238.0     1.056e+15     1.059e+15
         16011           140         431.0         217.0         217.0     9.682e+14       9.7e+14         217.0     9.682e+14       9.7e+14
         16022            49         487.0         247.0         247.0     1.109e+15     1.111e+15         162.0     7.257e+14     7.272e+14
         16022            91         455.0         224.0         224.0     9.998e+14     1.002e+15          34.0     1.517e+14      1.52e+14
         16022           496         430.0         209.0         209.0     9.424e+14     9.443e+14         209.0     9.424e+14     9.443e+14
         16051           117         565.0         289.0         289.0     1.271e+15     1.274e+15         287.0     1.267e+15     1.269e+15
         16051           175         434.0         223.0         223.0     9.982e+14         1e+15         223.0     9.982e+14         1e+15
         16051           206         470.0         254.0         255.0     1.132e+15     1.134e+15         255.0     1.132e+15     1.134e+15
         16058            98         546.0         175.0         175.0     7.616e+14     7.638e+14         175.0     7.616e+14     7.638e+14
         16058           172         663.0         245.0         245.0      1.07e+15     1.073e+15         245.0      1.07e+15     1.073e+15
         16058           176         520.0         190.0         190.0     8.336e+14     8.361e+14         190.0     8.336e+14     8.361e+14
         16081            45         658.0         203.0         203.0     8.945e+14     8.969e+14         203.0     8.945e+14     8.969e+14
         16081            52         569.0         175.0         175.0     7.682e+14     7.704e+14         175.0     7.682e+14     7.704e+14
         16095            14         458.0         107.0         107.0     4.201e+14     4.211e+14         107.0     4.201e+14     4.211e+14
         16095           186         597.0         154.0         154.0     5.963e+14     5.977e+14         154.0     5.963e+14     5.977e+14
         16095           330         656.0         160.0         160.0     6.315e+14      6.33e+14         160.0     6.315e+14      6.33e+14
         16121            27         625.0         165.0         165.0     5.868e+14     5.881e+14         165.0     5.868e+14     5.881e+14
         16121            37         517.0         143.0         143.0     5.112e+14     5.124e+14         143.0     5.112e+14     5.124e+14
         16216            17         588.0         217.0         217.0     9.338e+14     9.367e+14           0.0             0             0
         16216            70         568.0         200.0         200.0     8.629e+14     8.654e+14         114.0     4.914e+14     4.928e+14
         16216            76         467.0         180.0         180.0      7.81e+14     7.835e+14           0.0             0             0
         16266             5         561.0         210.0         210.0             0             0           0.0             0             0
         16281            96         805.0           0.0           0.0             0             0           0.0             0             0
         16281           202         741.0           0.0           0.0             0             0           0.0             0             0
         16283           217         739.0           0.0           0.0             0             0           0.0             0             0
         16283           226         728.0           0.0           0.0             0             0           0.0             0             0
         16283           234         615.0           0.0           0.0             0             0           0.0             0             0
         16283           248         577.0           0.0           0.0             0             0           0.0             0             0
         16446             8         559.0         188.0         188.0     7.517e+14     7.535e+14         188.0     7.517e+14     7.535e+14
         16446            42         500.0         158.0         158.0     6.339e+14     6.352e+14         158.0     6.339e+14     6.352e+14
         16446           375         511.0         176.0         176.0     7.101e+14     7.119e+14         176.0     7.101e+14     7.119e+14
         16462            76         517.0         186.0         186.0     7.332e+14     7.349e+14         186.0     7.332e+14     7.349e+14
         16462            78         427.0         163.0         163.0     6.411e+14     6.424e+14         163.0     6.411e+14     6.424e+14
         16514            83         517.0         183.0         183.0     6.651e+14     6.664e+14         183.0     6.651e+14     6.664e+14
         16524           168         492.0         155.0         155.0     5.646e+14     5.655e+14         155.0     5.646e+14     5.655e+14
