pi0_KE,pi0_cos,Ratio
5.0,-0.98,0.8351812936461454
15.0,-0.98,0.7901975131319731
25.0,-0.98,0.8442125086560632
35.0,-0.98,0.8750701811934063
45.0,-0.98,0.9325015210319813
55.0,-0.98,0.9431618851863476
65.0,-0.98,0.9192537468782243
75.0,-0.98,0.9498145603714037
85.0,-0.98,0.9235319900604484
95.0,-0.98,1.0423779542699787
105.0,-0.98,1.001362717413944
115.0,-0.98,1.0662546990728075
125.0,-0.98,1.167990794697723
135.0,-0.98,1.2226077775751443
145.0,-0.98,1.1598664983250029
155.0,-0.98,1.2185256439603471
165.0,-0.98,1.232911991836326
175.0,-0.98,1.1784888094083517
185.0,-0.98,1.1775636752078513
195.0,-0.98,1.1216002530197555
205.0,-0.98,1.2015248102321612
215.0,-0.98,1.2856678814564413
225.0,-0.98,1.178701417889212
235.0,-0.98,1.1243833801984646
245.0,-0.98,1.7361168667432234
255.0,-0.98,2.1946297828318184
265.0,-0.98,3.195122772063971
275.0,-0.98,3.012236956827986
285.0,-0.98,1.7750682067022059
295.0,-0.98,1.506118478413993
305.0,-0.98,5.809314131025401
315.0,-0.98,6.7775331528629685
325.0,-0.98,5.809314131025401
335.0,-0.98,0.9682190218375669
345.0,-0.98,0.0
355.0,-0.98,0.0
365.0,-0.98,0.0
375.0,-0.98,0.0
385.0,-0.98,0.0
395.0,-0.98,0.0
405.0,-0.98,0.0
415.0,-0.98,0.0
425.0,-0.98,0.0
435.0,-0.98,0.0
445.0,-0.98,0.0
455.0,-0.98,0.0
465.0,-0.98,0.0
475.0,-0.98,0.0
485.0,-0.98,0.0
495.0,-0.98,0.0
505.0,-0.98,0.0
515.0,-0.98,0.0
525.0,-0.98,0.0
535.0,-0.98,0.0
545.0,-0.98,0.0
555.0,-0.98,0.0
565.0,-0.98,0.0
575.0,-0.98,0.0
585.0,-0.98,0.0
595.0,-0.98,0.0
605.0,-0.98,0.0
615.0,-0.98,0.0
625.0,-0.98,0.0
635.0,-0.98,0.0
645.0,-0.98,0.0
655.0,-0.98,0.0
665.0,-0.98,0.0
675.0,-0.98,0.0
685.0,-0.98,0.0
695.0,-0.98,0.0
705.0,-0.98,0.0
715.0,-0.98,0.0
725.0,-0.98,0.0
735.0,-0.98,0.0
745.0,-0.98,0.0
755.0,-0.98,0.0
765.0,-0.98,0.0
775.0,-0.98,0.0
785.0,-0.98,0.0
795.0,-0.98,0.0
805.0,-0.98,0.0
815.0,-0.98,0.0
825.0,-0.98,0.0
835.0,-0.98,0.0
845.0,-0.98,0.0
855.0,-0.98,0.0
865.0,-0.98,0.0
875.0,-0.98,0.0
885.0,-0.98,0.0
895.0,-0.98,0.0
905.0,-0.98,0.0
915.0,-0.98,0.0
925.0,-0.98,0.0
935.0,-0.98,0.0
945.0,-0.98,0.0
955.0,-0.98,0.0
965.0,-0.98,0.0
975.0,-0.98,0.0
985.0,-0.98,0.0
995.0,-0.98,0.0
5.0,-0.94,0.8807772382561774
15.0,-0.94,0.7819996499442322
25.0,-0.94,0.8307204625233562
35.0,-0.94,0.8419792555684801
45.0,-0.94,0.9089893103886995
55.0,-0.94,0.927561113303988
65.0,-0.94,0.9486620807501083
75.0,-0.94,0.9546774970566217
85.0,-0.94,1.007307214366508
95.0,-0.94,0.932438175470707
105.0,-0.94,1.0544959643775482
