pi0_KE,pi0_cos,Ratio
5.0,-0.98,0.8013108921501949
15.0,-0.98,0.8205331406666906
25.0,-0.98,0.8252654202020465
35.0,-0.98,0.8686181421728465
45.0,-0.98,0.8969959997634311
55.0,-0.98,0.9129386846005288
65.0,-0.98,0.9253216311201002
75.0,-0.98,0.9534690398204797
85.0,-0.98,0.954356803261455
95.0,-0.98,0.9772535492744353
105.0,-0.98,1.0195160009786313
115.0,-0.98,1.0244699174070986
125.0,-0.98,1.065203795217812
135.0,-0.98,1.1587179172284259
145.0,-0.98,1.1259658967404846
155.0,-0.98,1.1747235373351244
165.0,-0.98,1.1307906087550599
175.0,-0.98,1.1539798389730425
185.0,-0.98,1.1734837235754039
195.0,-0.98,1.1290765295270593
205.0,-0.98,1.3152285635891576
215.0,-0.98,1.446942600336188
225.0,-0.98,1.328274802977507
235.0,-0.98,1.466854654469255
245.0,-0.98,2.004217250660962
255.0,-0.98,2.5456525220418813
265.0,-0.98,3.0901738054152306
275.0,-0.98,3.157230018190968
285.0,-0.98,2.7611381731185975
295.0,-0.98,4.0582978773649385
305.0,-0.98,12.386772637740375
315.0,-0.98,5.215483215890684
325.0,-0.98,7.171289421849692
335.0,-0.98,3.911612411918013
345.0,-0.98,0.4889515514897516
355.0,-0.98,3.911612411918013
365.0,-0.98,1.9558062059590064
375.0,-0.98,0.0
385.0,-0.98,0.0
395.0,-0.98,0.0
405.0,-0.98,0.0
415.0,-0.98,0.0
425.0,-0.98,0.0
435.0,-0.98,0.0
445.0,-0.98,0.0
455.0,-0.98,0.0
465.0,-0.98,0.0
475.0,-0.98,0.0
485.0,-0.98,0.0
495.0,-0.98,0.0
505.0,-0.98,0.0
515.0,-0.98,0.0
525.0,-0.98,0.0
535.0,-0.98,0.0
545.0,-0.98,0.0
555.0,-0.98,0.0
565.0,-0.98,0.0
575.0,-0.98,0.0
585.0,-0.98,0.0
595.0,-0.98,0.0
605.0,-0.98,0.0
615.0,-0.98,0.0
625.0,-0.98,0.0
635.0,-0.98,0.0
645.0,-0.98,0.0
655.0,-0.98,0.0
665.0,-0.98,0.0
675.0,-0.98,0.0
685.0,-0.98,0.0
695.0,-0.98,0.0
705.0,-0.98,0.0
715.0,-0.98,0.0
725.0,-0.98,0.0
735.0,-0.98,0.0
745.0,-0.98,0.0
755.0,-0.98,0.0
765.0,-0.98,0.0
775.0,-0.98,0.0
785.0,-0.98,0.0
795.0,-0.98,0.0
805.0,-0.98,0.0
815.0,-0.98,0.0
825.0,-0.98,0.0
835.0,-0.98,0.0
845.0,-0.98,0.0
855.0,-0.98,0.0
865.0,-0.98,0.0
875.0,-0.98,0.0
885.0,-0.98,0.0
895.0,-0.98,0.0
905.0,-0.98,0.0
915.0,-0.98,0.0
925.0,-0.98,0.0
935.0,-0.98,0.0
945.0,-0.98,0.0
955.0,-0.98,0.0
965.0,-0.98,0.0
975.0,-0.98,0.0
985.0,-0.98,0.0
995.0,-0.98,0.0
5.0,-0.94,0.8693038532742717
15.0,-0.94,0.795686255166702
25.0,-0.94,0.8213036632746841
35.0,-0.94,0.8319600070379453
45.0,-0.94,0.8862980885290614
55.0,-0.94,0.9015275702775188
65.0,-0.94,0.9154895296693694
75.0,-0.94,0.9376930936605715
85.0,-0.94,0.9587645167817812
95.0,-0.94,0.9630839749728072
105.0,-0.94,1.01669132665115
115.0,-0.94,1.03516206758761
125.0,-0.94,1.0764413937020803
135.0,-0.94,1.1084848739831654
145.0,-0.94,1.149600215038932
155.0,-0.94,1.1665949727734044
165.0,-0.94,1.1515231356582059
175.0,-0.94,1.1466847979601553
185.0,-0.94,1.1087262605687345
195.0,-0.94,1.1475179880787318
205.0,-0.94,1.1137229783933231
215.0,-0.94,1.3652294300419732
225.0,-0.94,1.5267262730190203
235.0,-0.94,1.9426799898116305
245.0,-0.94,1.4925889466529259
255.0,-0.94,2.183983596654224
265.0,-0.94,2.6302221390483194
275.0,-0.94,2.951489365356319
285.0,-0.94,3.319723691693577
295.0,-0.94,3.191052230775221
305.0,-0.94,5.280676756089318
315.0,-0.94,4.9981714152285734
325.0,-0.94,12.223788787243791
335.0,-0.94,0.9779031029795032
345.0,-0.94,0.0
355.0,-0.94,0.0
365.0,-0.94,3.911612411918013
375.0,-0.94,4.889515514897516
385.0,-0.94,0.0
395.0,-0.94,0.0
405.0,-0.94,0.0
415.0,-0.94,0.0
425.0,-0.94,0.0
435.0,-0.94,0.0
445.0,-0.94,0.0
455.0,-0.94,0.0
465.0,-0.94,0.0
475.0,-0.94,0.0
485.0,-0.94,0.0
495.0,-0.94,0.0
505.0,-0.94,0.0
515.0,-0.94,0.0
525.0,-0.94,0.0
535.0,-0.94,0.0
545.0,-0.94,0.0
555.0,-0.94,0.0
565.0,-0.94,0.0
575.0,-0.94,0.0
585.0,-0.94,0.0
595.0,-0.94,0.0
605.0,-0.94,0.0
615.0,-0.94,0.0
625.0,-0.94,0.0
635.0,-0.94,0.0
645.0,-0.94,0.0
655.0,-0.94,0.0
665.0,-0.94,0.0
675.0,-0.94,0.0
685.0,-0.94,0.0
695.0,-0.94,0.0
705.0,-0.94,0.0
715.0,-0.94,0.0
725.0,-0.94,0.0
735.0,-0.94,0.0
745.0,-0.94,0.0
755.0,-0.94,0.0
765.0,-0.94,0.0
775.0,-0.94,0.0
785.0,-0.94,0.0
795.0,-0.94,0.0
805.0,-0.94,0.0
815.0,-0.94,0.0
825.0,-0.94,0.0
835.0,-0.94,0.0
845.0,-0.94,0.0
855.0,-0.94,0.0
865.0,-0.94,0.0
875.0,-0.94,0.0
885.0,-0.94,0.0
895.0,-0.94,0.0
905.0,-0.94,0.0
915.0,-0.94,0.0
925.0,-0.94,0.0
935.0,-0.94,0.0
945.0,-0.94,0.0
955.0,-0.94,0.0
965.0,-0.94,0.0
975.0,-0.94,0.0
985.0,-0.94,0.0
995.0,-0.94,0.0
5.0,-0.9,0.8771463502143556
15.0,-0.9,0.7993278820527668
25.0,-0.9,0.8307147159367597
35.0,-0.9,0.8529111923856472
45.0,-0.9,0.9058938744873761
55.0,-0.9,0.8813161450452551
65.0,-0.9,0.9238544738945179
75.0,-0.9,0.939551901455111
85.0,-0.9,0.9748415748720798
95.0,-0.9,0.9627418145612164
105.0,-0.9,1.0089826561806154
115.0,-0.9,1.0306222527984437
125.0,-0.9,1.0998673531112608
135.0,-0.9,1.1314814550962349
145.0,-0.9,1.1281511510085611
155.0,-0.9,1.0831453486878588
165.0,-0.9,1.1444300806607954
175.0,-0.9,1.1220739604473386
185.0,-0.9,1.126284354154139
195.0,-0.9,1.015653038940109
205.0,-0.9,1.1642799296650084
215.0,-0.9,1.317293003425331
225.0,-0.9,1.3077057181020024
235.0,-0.9,1.7084542446171322
245.0,-0.9,1.8587623865793612
255.0,-0.9,1.5585330703735834
265.0,-0.9,1.8273946873859404
275.0,-0.9,2.3297103335688165
285.0,-0.9,1.748942088021035
295.0,-0.9,3.203475682174235
305.0,-0.9,2.93370930893851
315.0,-0.9,1.303870803972671
325.0,-0.9,3.789374524045576
335.0,-0.9,2.93370930893851
345.0,-0.9,3.324870550130311
355.0,-0.9,12.712740338733544
365.0,-0.9,9.779031029795032
375.0,-0.9,0.0
385.0,-0.9,1.9558062059590064
395.0,-0.9,0.0
405.0,-0.9,0.0
415.0,-0.9,0.0
425.0,-0.9,0.0
435.0,-0.9,0.0
445.0,-0.9,0.0
455.0,-0.9,0.0
465.0,-0.9,0.0
475.0,-0.9,0.0
485.0,-0.9,0.0
495.0,-0.9,0.0
505.0,-0.9,0.0
515.0,-0.9,0.0
525.0,-0.9,0.0
535.0,-0.9,0.0
545.0,-0.9,0.0
555.0,-0.9,0.0
565.0,-0.9,0.0
575.0,-0.9,0.0
585.0,-0.9,0.0
595.0,-0.9,0.0
605.0,-0.9,0.0
615.0,-0.9,0.0
625.0,-0.9,0.0
635.0,-0.9,0.0
645.0,-0.9,0.0
655.0,-0.9,0.0
665.0,-0.9,0.0
675.0,-0.9,0.0
685.0,-0.9,0.0
695.0,-0.9,0.0
705.0,-0.9,0.0
715.0,-0.9,0.0
725.0,-0.9,0.0
735.0,-0.9,0.0
745.0,-0.9,0.0
755.0,-0.9,0.0
765.0,-0.9,0.0
775.0,-0.9,0.0
785.0,-0.9,0.0
795.0,-0.9,0.0
805.0,-0.9,0.0
815.0,-0.9,0.0
825.0,-0.9,0.0
835.0,-0.9,0.0
845.0,-0.9,0.0
855.0,-0.9,0.0
865.0,-0.9,0.0
875.0,-0.9,0.0
885.0,-0.9,0.0
895.0,-0.9,0.0
905.0,-0.9,0.0
915.0,-0.9,0.0
925.0,-0.9,0.0
935.0,-0.9,0.0
945.0,-0.9,0.0
955.0,-0.9,0.0
965.0,-0.9,0.0
975.0,-0.9,0.0
985.0,-0.9,0.0
995.0,-0.9,0.0
5.0,-0.86,0.838202659696717
15.0,-0.86,0.7869494366072383
25.0,-0.86,0.8160197511358335
35.0,-0.86,0.8616726326734458
45.0,-0.86,0.8853182094426384
55.0,-0.86,0.8871205673608848
65.0,-0.86,0.9265776664782464
75.0,-0.86,0.9404142425809209
85.0,-0.86,0.9655103217205465
95.0,-0.86,0.9705607990622475
105.0,-0.86,1.006776698871672
115.0,-0.86,1.017783400463649
125.0,-0.86,1.0853921364087094
135.0,-0.86,1.113536246660041
145.0,-0.86,1.0990941172530337
155.0,-0.86,1.145321152461064
165.0,-0.86,1.142343348565821
175.0,-0.86,1.092829805533233
185.0,-0.86,1.0971915511981827
195.0,-0.86,1.1247676715588426
205.0,-0.86,1.279132183808011
215.0,-0.86,1.3120884771069528
225.0,-0.86,1.448473017195204
235.0,-0.86,1.5064993748603157
245.0,-0.86,1.7050618205796466
255.0,-0.86,1.5488527407439339
265.0,-0.86,2.353415159917706
275.0,-0.86,2.5542245227076577
285.0,-0.86,2.215561717687937
295.0,-0.86,2.265873043489093
305.0,-0.86,2.360455765812594
315.0,-0.86,3.9814626335594063
325.0,-0.86,2.4190234652650866
335.0,-0.86,3.74862856142143
345.0,-0.86,5.671837997281118
355.0,-0.86,6.356370169366772
365.0,-0.86,1.9558062059590062
375.0,-0.86,2.2002819817038826
