pi0_KE,pi0_cos,Ratio
5.0,-0.98,0.8304532751085574
15.0,-0.98,0.8402962841801548
25.0,-0.98,0.8325000677766579
35.0,-0.98,0.8682752769546291
45.0,-0.98,0.8820621632749109
55.0,-0.98,0.9018939119423848
65.0,-0.98,0.901907987388772
75.0,-0.98,0.9598581510626996
85.0,-0.98,0.9505308109810146
95.0,-0.98,0.9799075709685126
105.0,-0.98,0.9890919139064533
115.0,-0.98,1.045938781224901
125.0,-0.98,1.065481165680581
135.0,-0.98,1.1374284095625442
145.0,-0.98,1.096086332347064
155.0,-0.98,1.1432871599296646
165.0,-0.98,1.158401493474296
175.0,-0.98,1.125508723312113
185.0,-0.98,1.1226020179095468
195.0,-0.98,1.162930510746989
205.0,-0.98,1.1717045941343225
215.0,-0.98,1.4166685861838382
225.0,-0.98,1.4675838270216495
235.0,-0.98,1.457487231895336
245.0,-0.98,2.8223480404665136
255.0,-0.98,2.2567357813446813
265.0,-0.98,3.029008350674972
275.0,-0.98,3.0404385708661983
285.0,-0.98,4.356183917322916
295.0,-0.98,4.660321355159639
305.0,-0.98,4.053918094488265
315.0,-0.98,3.793139737532879
325.0,-0.98,7.823350708661562
335.0,-0.98,6.4009233070867335
345.0,-0.98,0.5334102755905612
355.0,-0.98,0.0
365.0,-0.98,0.0
375.0,-0.98,0.0
385.0,-0.98,1.0668205511811224
395.0,-0.98,0.0
405.0,-0.98,0.0
415.0,-0.98,0.0
425.0,-0.98,0.0
435.0,-0.98,0.0
445.0,-0.98,0.0
455.0,-0.98,0.0
465.0,-0.98,0.0
475.0,-0.98,0.0
485.0,-0.98,0.0
495.0,-0.98,0.0
505.0,-0.98,0.0
515.0,-0.98,0.0
525.0,-0.98,0.0
535.0,-0.98,0.0
545.0,-0.98,0.0
555.0,-0.98,0.0
565.0,-0.98,0.0
575.0,-0.98,0.0
585.0,-0.98,0.0
595.0,-0.98,0.0
605.0,-0.98,0.0
615.0,-0.98,0.0
625.0,-0.98,0.0
635.0,-0.98,0.0
645.0,-0.98,0.0
655.0,-0.98,0.0
665.0,-0.98,0.0
675.0,-0.98,0.0
685.0,-0.98,0.0
695.0,-0.98,0.0
705.0,-0.98,0.0
715.0,-0.98,0.0
725.0,-0.98,0.0
735.0,-0.98,0.0
745.0,-0.98,0.0
755.0,-0.98,0.0
765.0,-0.98,0.0
775.0,-0.98,0.0
785.0,-0.98,0.0
795.0,-0.98,0.0
805.0,-0.98,0.0
815.0,-0.98,0.0
825.0,-0.98,0.0
835.0,-0.98,0.0
845.0,-0.98,0.0
855.0,-0.98,0.0
865.0,-0.98,0.0
875.0,-0.98,0.0
885.0,-0.98,0.0
895.0,-0.98,0.0
905.0,-0.98,0.0
915.0,-0.98,0.0
925.0,-0.98,0.0
935.0,-0.98,0.0
945.0,-0.98,0.0
955.0,-0.98,0.0
965.0,-0.98,0.0
975.0,-0.98,0.0
985.0,-0.98,0.0
995.0,-0.98,0.0
5.0,-0.94,0.7987239083190835
15.0,-0.94,0.8036799043156042
25.0,-0.94,0.8170661019504653
35.0,-0.94,0.844968635702056
45.0,-0.94,0.9022262834890789
55.0,-0.94,0.8979187788905
65.0,-0.94,0.9264947801856969
75.0,-0.94,0.9297276377013122
85.0,-0.94,0.9590229006422709
95.0,-0.94,0.9557358440600447
105.0,-0.94,1.0298267738674376
115.0,-0.94,1.0755523515518872
125.0,-0.94,1.0840325722504065
135.0,-0.94,1.102121269688847
145.0,-0.94,1.0900347314534387
155.0,-0.94,1.0770784410963252
165.0,-0.94,1.0932706474913978
175.0,-0.94,1.0092461087364266
185.0,-0.94,0.9861971357072452
195.0,-0.94,1.1147675422454422
205.0,-0.94,1.061666828711648
215.0,-0.94,1.2703586826564677
225.0,-0.94,1.4286118685381983
235.0,-0.94,1.86379825706349
245.0,-0.94,1.5733684387923021
255.0,-0.94,2.3020864525487372
265.0,-0.94,2.911154385426452
275.0,-0.94,2.938128731121779
285.0,-0.94,4.508177167894419
295.0,-0.94,2.688387788976428
305.0,-0.94,3.911675354330781
315.0,-0.94,2.8866909031959778
325.0,-0.94,3.333814222441007
335.0,-0.94,1.7069128818897956
345.0,-0.94,4.26728220472449
355.0,-0.94,2.6670513779528053
365.0,-0.94,2.6670513779528053
375.0,-0.94,0.0
385.0,-0.94,0.0
395.0,-0.94,0.0
405.0,-0.94,0.0
415.0,-0.94,0.0
425.0,-0.94,0.0
435.0,-0.94,0.0
445.0,-0.94,0.0
455.0,-0.94,0.0
465.0,-0.94,0.0
475.0,-0.94,0.0
485.0,-0.94,0.0
495.0,-0.94,0.0
505.0,-0.94,0.0
515.0,-0.94,0.0
525.0,-0.94,0.0
535.0,-0.94,0.0
545.0,-0.94,0.0
555.0,-0.94,0.0
565.0,-0.94,0.0
575.0,-0.94,0.0
585.0,-0.94,0.0
595.0,-0.94,0.0
605.0,-0.94,0.0
615.0,-0.94,0.0
625.0,-0.94,0.0
635.0,-0.94,0.0
645.0,-0.94,0.0
655.0,-0.94,0.0
665.0,-0.94,0.0
675.0,-0.94,0.0
685.0,-0.94,0.0
695.0,-0.94,0.0
705.0,-0.94,0.0
715.0,-0.94,0.0
725.0,-0.94,0.0
735.0,-0.94,0.0
745.0,-0.94,0.0
755.0,-0.94,0.0
765.0,-0.94,0.0
775.0,-0.94,0.0
785.0,-0.94,0.0
795.0,-0.94,0.0
805.0,-0.94,0.0
815.0,-0.94,0.0
825.0,-0.94,0.0
835.0,-0.94,0.0
845.0,-0.94,0.0
855.0,-0.94,0.0
865.0,-0.94,0.0
875.0,-0.94,0.0
885.0,-0.94,0.0
895.0,-0.94,0.0
905.0,-0.94,0.0
915.0,-0.94,0.0
925.0,-0.94,0.0
935.0,-0.94,0.0
945.0,-0.94,0.0
955.0,-0.94,0.0
965.0,-0.94,0.0
975.0,-0.94,0.0
985.0,-0.94,0.0
995.0,-0.94,0.0
5.0,-0.9,0.8540447611017992
15.0,-0.9,0.8039353489228577
25.0,-0.9,0.8068300442467499
35.0,-0.9,0.8643576292670644
45.0,-0.9,0.8966193917374055
55.0,-0.9,0.8827469800075533
65.0,-0.9,0.917361317864692
75.0,-0.9,0.9490778147631388
85.0,-0.9,0.9697341035636265
95.0,-0.9,0.9646781579829298
105.0,-0.9,0.9740452298035277
115.0,-0.9,1.0197192341740358
125.0,-0.9,1.1070485111642745
135.0,-0.9,1.1021869155372177
145.0,-0.9,1.1506458848756858
155.0,-0.9,1.1036528266842929
165.0,-0.9,1.1594326858412531
175.0,-0.9,1.1292468321279798
185.0,-0.9,1.0940701182610997
195.0,-0.9,1.1513610476898148
205.0,-0.9,1.2490791874876919
215.0,-0.9,1.3981124032573111
225.0,-0.9,1.235077483749957
235.0,-0.9,1.4741520343593688
245.0,-0.9,1.4735090485927103
255.0,-0.9,1.7201447646951427
265.0,-0.9,2.42926607437629
275.0,-0.9,2.83911920878847
285.0,-0.9,2.1563394119618424
295.0,-0.9,2.626019818291993
305.0,-0.9,2.6077835695538543
315.0,-0.9,2.8448548031496594
325.0,-0.9,2.8448548031496594
335.0,-0.9,3.7338719291339277
345.0,-0.9,9.6013849606301
355.0,-0.9,6.9343335826772945
365.0,-0.9,5.334102755905611
375.0,-0.9,0.0
385.0,-0.9,2.133641102362245
395.0,-0.9,0.0
405.0,-0.9,0.0
415.0,-0.9,0.0
425.0,-0.9,0.0
435.0,-0.9,0.0
445.0,-0.9,0.0
455.0,-0.9,0.0
465.0,-0.9,0.0
475.0,-0.9,0.0
485.0,-0.9,0.0
495.0,-0.9,0.0
505.0,-0.9,0.0
515.0,-0.9,0.0
