pi0_KE,pi0_cos,Ratio
5.0,-0.98,0.8385478873388214
15.0,-0.98,0.8221046433744905
25.0,-0.98,0.8622739006539076
35.0,-0.98,0.8809617881023143
45.0,-0.98,0.9240391934334476
55.0,-0.98,0.9262265636493197
65.0,-0.98,0.9287945111486072
75.0,-0.98,0.9623284758705073
85.0,-0.98,0.9355329025310903
95.0,-0.98,1.0307817887917525
105.0,-0.98,0.9862239889408858
115.0,-0.98,1.1401075480765972
125.0,-0.98,1.2048539560790699
135.0,-0.98,1.2603116150171965
145.0,-0.98,1.2042369666940895
155.0,-0.98,1.1667867500388875
165.0,-0.98,1.1732790029821742
175.0,-0.98,1.224883565011042
185.0,-0.98,1.13172440434074
195.0,-0.98,1.2675313328616284
205.0,-0.98,1.5620984735970778
215.0,-0.98,1.4025961470190151
225.0,-0.98,1.232322129171028
235.0,-0.98,1.3957934320202459
245.0,-0.98,4.993305250667022
255.0,-0.98,2.5652419831723443
265.0,-0.98,1.8345848238786733
275.0,-0.98,5.915146220020934
285.0,-0.98,1.659862459699752
295.0,-0.98,2.112552221436048
305.0,-0.98,6.337656664308144
315.0,-0.98,1.8484831937565418
325.0,-0.98,0.0
335.0,-0.98,0.0
345.0,-0.98,0.0
355.0,-0.98,0.0
365.0,-0.98,0.0
375.0,-0.98,0.0
385.0,-0.98,0.0
395.0,-0.98,0.0
405.0,-0.98,0.0
415.0,-0.98,0.0
425.0,-0.98,0.0
435.0,-0.98,0.0
445.0,-0.98,0.0
455.0,-0.98,0.0
465.0,-0.98,0.0
475.0,-0.98,0.0
485.0,-0.98,0.0
495.0,-0.98,0.0
505.0,-0.98,0.0
515.0,-0.98,0.0
525.0,-0.98,0.0
535.0,-0.98,0.0
545.0,-0.98,0.0
555.0,-0.98,0.0
565.0,-0.98,0.0
575.0,-0.98,0.0
585.0,-0.98,0.0
595.0,-0.98,0.0
605.0,-0.98,0.0
615.0,-0.98,0.0
625.0,-0.98,0.0
635.0,-0.98,0.0
645.0,-0.98,0.0
655.0,-0.98,0.0
665.0,-0.98,0.0
675.0,-0.98,0.0
685.0,-0.98,0.0
695.0,-0.98,0.0
705.0,-0.98,0.0
715.0,-0.98,0.0
725.0,-0.98,0.0
735.0,-0.98,0.0
745.0,-0.98,0.0
755.0,-0.98,0.0
765.0,-0.98,0.0
775.0,-0.98,0.0
785.0,-0.98,0.0
795.0,-0.98,0.0
805.0,-0.98,0.0
815.0,-0.98,0.0
825.0,-0.98,0.0
835.0,-0.98,0.0
845.0,-0.98,0.0
855.0,-0.98,0.0
865.0,-0.98,0.0
875.0,-0.98,0.0
885.0,-0.98,0.0
895.0,-0.98,0.0
905.0,-0.98,0.0
915.0,-0.98,0.0
