pi0_KE,pi0_cos,Ratio
5.0,-0.98,0.8281828431985593
15.0,-0.98,0.8503243067940438
25.0,-0.98,0.8229011558787789
35.0,-0.98,0.8656648982505416
45.0,-0.98,0.8673579591805621
55.0,-0.98,0.893980424096646
65.0,-0.98,0.8933469095228306
75.0,-0.98,0.9615160270646073
85.0,-0.98,0.9594814313031025
95.0,-0.98,0.9633516147260531
105.0,-0.98,0.9931840469162283
115.0,-0.98,1.0148789824640116
125.0,-0.98,1.0178310215405133
135.0,-0.98,1.0949603005747062
145.0,-0.98,1.0599059523938679
155.0,-0.98,1.1371252729790506
165.0,-0.98,1.1552220216011897
175.0,-0.98,1.0938334117576483
185.0,-0.98,1.122692594435939
195.0,-0.98,1.136760013672556
205.0,-0.98,1.0780701483050004
215.0,-0.98,1.4266250862833767
225.0,-0.98,1.5543073556130715
235.0,-0.98,1.4795193468871073
245.0,-0.98,2.480370669781327
255.0,-0.98,2.198959188536232
265.0,-0.98,3.6584293163515937
275.0,-0.98,2.6397102232722838
285.0,-0.98,5.497891675693642
295.0,-0.98,6.177228865506361
305.0,-0.98,3.8197357235981366
315.0,-0.98,5.3715033613098795
325.0,-0.98,5.729603585397205
335.0,-0.98,5.908653697440868
345.0,-0.98,1.074300672261976
355.0,-0.98,0.0
365.0,-0.98,0.0
375.0,-0.98,0.0
385.0,-0.98,1.074300672261976
395.0,-0.98,0.0
405.0,-0.98,0.0
415.0,-0.98,0.0
425.0,-0.98,0.0
435.0,-0.98,0.0
445.0,-0.98,0.0
455.0,-0.98,0.0
465.0,-0.98,0.0
475.0,-0.98,0.0
485.0,-0.98,0.0
495.0,-0.98,0.0
505.0,-0.98,0.0
515.0,-0.98,0.0
525.0,-0.98,0.0
535.0,-0.98,0.0
545.0,-0.98,0.0
555.0,-0.98,0.0
565.0,-0.98,0.0
575.0,-0.98,0.0
585.0,-0.98,0.0
595.0,-0.98,0.0
605.0,-0.98,0.0
615.0,-0.98,0.0
625.0,-0.98,0.0
635.0,-0.98,0.0
645.0,-0.98,0.0
655.0,-0.98,0.0
665.0,-0.98,0.0
